id,carat,cut,color,clarity,depth,table,x,y,z,price
68551,0.31,Good,E,SI1,63.9,57.0,4.32,4.29,2.75,618
27814,0.33,Ideal,E,SI1,62.3,54.0,4.41,4.43,2.75,579
82570,0.8,Premium,H,VS2,60.5,60.0,6.01,5.96,3.62,2826
147788,0.9,Very Good,G,SI1,62.8,57.0,6.13,6.07,3.84,3210
61317,0.5,Premium,G,VVS2,62.3,58.0,5.08,5.11,3.17,1859
43877,1.01,Ideal,E,SI2,61.0,57.0,6.49,6.47,3.96,4611
102323,1.18,Ideal,F,VS2,61.7,56.0,6.81,6.78,4.19,8452
69566,0.73,Very Good,I,SI1,62.8,58.0,5.7,5.77,3.61,2172
105667,2.01,Premium,G,SI2,59.3,62.0,8.21,8.14,4.88,14047
84798,1.05,Premium,E,SI2,60.5,57.0,6.65,6.6,4.01,4751
148484,0.81,Ideal,E,SI1,61.8,56.0,5.99,5.96,3.7,3120
59033,1.11,Ideal,H,VS2,62.4,56.0,6.61,6.58,4.11,5080
116409,0.41,Premium,G,VS1,61.0,61.0,4.75,4.72,2.89,961
125707,1.01,Premium,J,VS1,61.8,60.0,6.49,6.39,3.98,3748
167445,0.5,Very Good,G,VS1,63.5,57.0,5.05,5.02,3.19,1689
30752,0.72,Premium,H,VVS1,61.6,59.0,5.75,5.72,3.53,2919
121679,0.32,Ideal,F,VS2,62.0,56.0,4.38,4.37,2.71,645
57890,1.01,Good,H,SI2,62.6,58.0,6.34,6.31,3.97,3455
90963,2.01,Good,I,VS2,65.1,57.0,7.89,7.97,5.15,14239
74818,1.53,Premium,G,VVS2,61.9,56.0,7.38,7.42,4.58,13667
152487,0.91,Very Good,E,SI1,63.0,58.0,6.11,6.16,3.87,4211
129478,0.3,Ideal,G,VS1,62.7,56.0,4.31,4.34,2.71,776
48930,0.5,Ideal,D,SI1,62.4,57.0,5.08,5.09,3.17,1447
41596,0.71,Very Good,G,SI1,62.4,57.0,5.64,5.67,3.53,2207
86446,1.01,Ideal,D,VS2,61.6,56.0,6.37,6.43,3.95,7275
87939,1.53,Premium,D,SI2,61.1,58.0,7.44,7.36,4.52,9870
190117,1.21,Premium,G,VS1,59.6,59.0,7.02,6.92,4.17,9457
169721,1.15,Ideal,G,SI1,61.4,58.0,6.75,6.77,4.16,5631
49443,0.51,Ideal,F,SI1,61.9,55.0,5.17,5.19,3.2,1352
551,0.31,Ideal,F,SI1,61.3,55.0,4.39,4.35,2.68,618
100339,1.06,Ideal,F,IF,62.2,57.0,6.56,6.51,4.07,15433
157379,0.37,Premium,F,VS2,59.4,58.0,4.72,4.75,2.81,706
39624,0.35,Premium,G,VS1,60.5,59.0,4.53,4.57,2.75,796
134544,0.9,Good,I,VS2,62.8,61.0,6.09,6.12,3.84,3548
75264,0.53,Premium,D,SI2,61.5,59.0,5.19,5.16,3.19,1241
54916,0.3,Good,E,SI1,63.3,56.0,4.23,4.25,2.68,479
42212,0.2,Very Good,E,VS2,63.1,58.0,3.78,3.72,2.4,326
23065,1.14,Ideal,H,SI1,62.1,56.0,6.7,6.75,4.17,5783
189941,1.0,Very Good,G,SI1,62.8,58.0,6.29,6.35,3.97,5511
99650,0.72,Very Good,G,VVS2,61.9,58.0,5.75,5.8,3.57,3238
97829,0.4,Ideal,E,VVS2,61.9,56.0,4.75,4.77,2.94,1105
18439,0.4,Ideal,E,VVS2,61.4,54.0,4.73,4.76,2.91,1016
40072,1.54,Ideal,G,VS2,61.4,55.0,7.48,7.44,4.58,13135
191599,0.51,Ideal,D,VS2,61.8,56.0,5.12,5.15,3.18,1836
163419,0.55,Very Good,D,SI1,64.2,54.0,5.18,5.14,3.31,1419
142699,0.51,Good,G,VS2,57.6,65.0,5.26,5.34,3.05,1574
51759,0.44,Ideal,G,VVS1,61.1,57.0,4.91,4.94,3.02,1179
123683,1.01,Very Good,D,SI2,63.3,56.0,6.36,6.33,4.02,4808
169935,0.34,Good,G,VS2,63.1,57.0,4.44,4.48,2.8,586
10641,1.57,Very Good,E,SI1,61.9,57.0,7.45,7.51,4.62,14704
117896,0.4,Ideal,F,VS1,61.8,56.0,4.73,4.76,2.93,742
62263,0.31,Ideal,F,VS2,62.7,54.0,4.32,4.35,2.71,619
137836,1.51,Ideal,H,SI1,62.6,56.0,7.34,7.3,4.58,10221
109723,1.55,Ideal,I,SI1,62.2,55.0,7.46,7.41,4.61,9526
52088,0.23,Very Good,F,VS2,62.4,55.0,3.93,3.96,2.45,536
52639,1.21,Premium,G,VS2,62.0,58.0,6.76,6.81,4.21,6996
25597,0.4,Ideal,G,VVS2,61.8,56.0,4.75,4.77,2.94,1029
157968,0.26,Ideal,H,VVS2,62.4,55.0,4.06,4.1,2.54,591
54465,0.9,Very Good,F,VS2,62.1,55.0,6.16,6.19,3.83,4740
188287,2.0,Good,I,VS2,63.9,61.0,8.03,7.94,5.08,17028
3546,1.04,Very Good,I,VS2,63.1,56.0,6.44,6.47,4.08,4685
52020,0.4,Premium,G,VVS1,62.7,57.0,4.67,4.7,2.94,1056
13823,1.51,Very Good,D,VS2,61.9,57.0,7.34,7.38,4.58,14224
36447,1.36,Premium,H,SI1,61.3,57.0,7.13,7.03,4.32,6825
